date,month,season,event_type,sales,product_id
1/15/2024,1,Winter,Normal,8200,P010
2/10/2024,2,Winter,Normal,7900,P001
3/20/2024,3,Spring,Easter,12500,P005
4/5/2024,4,Spring,Normal,8800,P002
5/18/2024,5,Spring,VIB_Sale,14500,P006
6/12/2024,6,Summer,Normal,9000,P003
7/22/2024,7,Summer,Normal,9100,P009
8/15/2024,8,Summer,Normal,9400,P008
9/10/2024,9,Fall,Normal,9700,P001
10/5/2024,10,Fall,VIB_Sale,15000,P012
11/25/2024,11,Fall,Black_Friday,18000,P010
12/20/2024,12,Winter,Christmas,22000,P011
1/10/2025,1,Winter,Normal,8300,P003
2/14/2025,2,Winter,Valentines,13000,P010
3/30/2025,3,Spring,Easter,12800,P005
4/18/2025,4,Spring,Normal,8900,P002
5/20/2025,5,Spring,VIB_Sale,14800,P006
6/25/2025,6,Summer,Normal,9200,P004
7/30/2025,7,Summer,Normal,9300,P009
8/18/2025,8,Summer,Normal,9500,P008
9/12/2025,9,Fall,Normal,9800,P001
10/8/2025,10,Fall,VIB_Sale,15500,P012
11/28/2025,11,Fall,Black_Friday,18500,P010
12/22/2025,12,Winter,Christmas,23000,P011
1/5/2026,1,Winter,Normal,8500,P002
