product_id,product_name,category,supplier,unit_price,unit_cost
P001,Vitamin C Serum,Skincare,DermaLogix,120,45
P002,Moisturizing Cream,Skincare,DermaLogix,85,30
P003,Argan Shampoo,Haircare,NatureSilk,45,15
P004,Repairing Conditioner,Haircare,NatureSilk,50,18
P005,Matte Red Lipstick,Makeup,GlamColor,75,25
P006,Foundation,Makeup,GlamColor,150,55
P007,Black Mascara,Makeup,GlamColor,65,20
P008,Body Oil,Bodycare,NatureSilk,90,35
P009,Cleansing Gel,Skincare,DermaLogix,55,22
P010,Floral Perfume,Fragrance,LuxeScent,450,180
P011,Eau de Toilette,Fragrance,LuxeScent,280,110
P012,Night Serum,Skincare,DermaLogix,140,50
